Date,RGDP_FIJI,G_REAL_GROWTH_FIJI,RGDP_AUS,G_REAL_GROWTH_AUS,REER_FIJI,SUGAROUTPUT_FIJI,G_SUGAR_OUTPUT,SUGAROUTPUT_FIJI_MISSING
1970,1.6316,,406.2,,,,,
1971,1.7436,6.86442755577348,421.7,3.81585425898572,,,,
1972,1.8744,7.50172057811425,429.7,1.89708323452692,,,,
1973,2.0921,11.6143832693128,451.4,5.0500349080754,,,,
1974,2.1453,2.54289947899242,458,1.46211785556048,,,,
1975,2.1442,-0.051274879970172,466.6,1.87772925764193,,,,
1976,2.1821,1.76755899636228,487.2,4.41491641663094,,,,
1977,2.1063,-3.4737179780945,493.6,1.3136288998358,,,,
1978,2.1472,1.9417936666192,504.7,2.24878444084278,,,,
1979,2.4111,12.2904247391952,525.8,4.1807014067763,,,,
1980,2.3702,-1.69632118120359,541,2.89083301635604,145.523507,,,
1981,2.5125,6.00371276685512,563.3,4.12199630314232,149.598124,,,
1982,2.4851,-1.0905472636816,563.7,0.071010118941965,150.22906,,,
1983,2.3804,-4.21311013641303,561,-0.478978179882924,149.507794,,,
1984,2.621,10.1075449504285,596.6,6.34581105169341,151.545193,,,
1985,2.5221,-3.77336894315147,629.1,5.44753603754609,153.658357,,,
1986,2.6885,6.59767653939177,644.5,2.44794150373549,138.165279,,,
1987,2.4951,-7.19360238050958,676.1,4.90302560124128,117.477293,,,
1988,2.5814,3.4587792072462,704.8,4.24493418133411,99.757068,,,
1989,2.9399,13.8878128147517,738.1,4.72474460839956,99.7055479999999,,,
1990,3.1105,5.80291846661451,754.8,2.26256604796097,100.466102,4016,,4016
1991,3.0263,-2.70696029577239,745.7,-1.20561738208796,103.380059,3380,-15.8366533864542,3380
1992,3.2111,6.10646664243466,765.9,2.70886415448571,103.720261,3533,4.52662721893491,3533
1993,3.2947,2.60346921615646,796.8,4.03446925186055,107.430565,3704,4.84007925275969,3704
1994,3.4624,5.08999301909127,834.3,4.70632530120482,107.701338,4064,9.71922246220302,4064
1995,3.6326,4.91566543438077,859.1,2.97255183986576,105.651249,4110.2,1.13681102362204,4110.2
1996,3.8048,4.74040632054177,895.9,4.28355255499941,106.050565,4380,6.564157461924,4380
1997,3.7188,-2.26030277544156,932.4,4.07411541466682,109.323742,3280,-25.1141552511416,3280
1998,3.7644,1.22620200064538,978.9,4.98712998712999,92.983952,2098,-36.0365853658537,
1999,4.1112,9.21262352566146,1019.7,4.16794361017469,93.198896,3958,88.6558627264061,3958
2000,4.038,-1.78050204319906,1051.2,3.08914386584289,90.232322,3786,-4.34562910560889,3786
2001,4.1175,1.96879643387814,1078.7,2.61605783866058,91.391752,2805,-25.9112519809826,2805
2002,4.2474,3.15482695810565,1121.3,3.9491981088347,91.669841,3422,21.9964349376114,3422
2003,4.2897,0.995903376183077,1155.4,3.04111299384644,97.889979,2610,-23.728813559322,2610
2004,4.5238,5.45725808331584,1202.7,4.09382032196641,99.843783,3001,14.9808429118774,3001
2005,4.6368,2.49789999557895,1240.4,3.13461378564896,100,2789,-7.06431189603466,
2006,4.7229,1.85688405797102,1273.5,2.66849403418251,97.790079,3226,15.6686984582288,3226
2007,4.6823,-0.859641322069077,1331.4,4.54652532391049,99.500413,2478,-23.1866088034718,2478
2008,4.7306,1.03154432650621,1367.2,2.68889890340994,102.174897,2321,-6.33575464083939,2321
2009,4.665,-1.38671627277724,1388.3,1.54330017554125,90.5523149999999,2247,-3.1882809133994,2247
2010,4.8029,2.95605573419079,1419.5,2.24735287762011,88.007182,1778,-20.8722741433022,1778
2011,4.9328,2.70461596119012,1456.3,2.59246213455442,92.155705,2096,17.8852643419573,2096
2012,5.0231,1.83060330846578,1508.8,3.60502643686054,94.978416,1640,-21.7557251908397,1640
2013,5.2563,4.64255141247437,1543.9,2.32635206786851,95.888873,1760,7.31707317073171,1760
2014,,,,,,,,
2015,,,,,,,,
2016,,,,,,,,
2017,,,,,,,,
2018,,,,,,,,
2019,,,,,,,,
2020,,,,,,,,
